City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tsiombe,-25.3,45.4833,71.33,65,0,17.13,MG,1701632405
1,ejura,7.3856,-1.3562,81.21,37,7,4.05,GH,1701632407
2,usinsk,65.9939,57.5281,7.47,96,100,6.82,RU,1701632409
3,adamstown,-25.066,-130.1015,72.57,83,76,13.71,PN,1701632411
4,ushuaia,-54.8,-68.3,49.66,66,100,24.16,AR,1701632412
5,boac,13.4463,121.84,78.49,87,56,8.5,PH,1701632414
6,olonkinbyen,70.9221,-8.7187,33.96,90,17,12.12,SJ,1701632416
7,queenstown,-31.8976,26.8753,61.21,92,40,6.91,ZA,1701632418
8,sandnessjoen,66.0217,12.6316,21.31,68,0,10.36,NO,1701632420
9,grand baie,-20.0182,57.5802,75.67,92,67,1.99,MU,1701632422
10,hawaiian paradise park,19.5933,-154.9731,75.04,98,100,5.75,US,1701632424
11,bethel,41.3712,-73.414,47.75,89,100,6.91,US,1701632308
12,egilsstadir,65.2653,-14.3948,24.71,93,100,3.44,IS,1701632428
13,margaret river,-33.95,115.0667,62.78,87,100,9.22,AU,1701632187
14,talnakh,69.4865,88.3972,-29.83,88,14,1.9,RU,1701632432
15,embi,48.8264,58.1442,35.06,61,100,5.7,KZ,1701632434
16,atafu village,-8.5421,-172.5159,84.04,76,99,16.22,TK,1701632436
17,edinburgh of the seven seas,-37.0676,-12.3116,59.45,80,14,6.53,SH,1701632438
18,isafjordur,66.0755,-23.124,32.25,84,99,8.61,IS,1701632440
19,waitangi,-43.9535,-176.5597,57.81,97,100,5.01,NZ,1701632443
20,gwanda,-20.9333,29.0,69.93,36,4,7.47,ZW,1701632445
21,enkoping,59.6361,17.0777,15.91,92,97,6.71,SE,1701632447
22,denison,33.7557,-96.5367,67.91,36,0,10.0,US,1701632188
23,grytviken,-54.2811,-36.5092,36.25,66,13,10.74,GS,1701632450
24,general acha,-37.377,-64.6043,72.54,12,0,10.02,AR,1701632452
25,kill devil hills,36.0307,-75.676,68.02,87,0,8.05,US,1701632454
26,manjeshvar,12.7,74.8833,79.99,82,97,5.64,IN,1701632456
27,nar'yan-mar,67.6713,53.087,3.11,95,100,10.0,RU,1701632458
